step,|phi|,Q_L,A_L,S_L,Xi_L,F_LRe, F_LIm, acc
252,400.000000,26.375643,-1957.796078,-2019.942221,58.752727,-4.629648,-6.806828,0.101828
253,400.000000,27.913489,-1945.437187,-2011.206796,58.091506,-4.629648,-6.806828,0.101742
254,400.000000,26.546160,-1956.304369,-2018.852286,63.537600,-4.629648,-6.806828,0.101775
255,400.000000,27.090156,-1945.207984,-2009.037659,66.879018,-4.629648,-6.806828,0.101865
256,400.000000,27.389287,-1952.667902,-2017.202389,67.233481,-4.629648,-6.806828,0.101780
257,400.000000,27.712493,-1956.292834,-2021.588858,68.669295,-4.629648,-6.806828,0.101725
258,400.000000,26.337987,-1960.628776,-2022.686195,71.431611,-4.629648,-6.806828,0.101680
259,400.000000,25.874289,-1979.704344,-2040.669201,70.471194,-4.629648,-6.806828,0.101615
260,400.000000,25.874289,-1993.099993,-2054.064850,70.216134,-4.629648,-6.806828,0.101580
261,400.000000,26.417970,-1983.209955,-2045.455831,67.401982,-4.629648,-6.806828,0.101565
262,400.000000,26.417970,-1975.304462,-2037.550338,69.048857,-4.629648,-6.806828,0.101530
263,400.000000,25.920780,-1986.272699,-2047.347099,72.964555,-4.629648,-6.806828,0.101506
264,400.000000,23.392681,-1994.686781,-2049.804486,71.326494,-4.629648,-6.806828,0.101358
265,400.000000,23.309557,-1996.456763,-2051.378611,68.923048,-4.629648,-6.806828,0.101231
266,400.000000,23.309557,-1998.228426,-2053.150275,68.613387,-4.629648,-6.806828,0.101105
267,400.000000,22.566484,-1996.077713,-2049.248739,69.329775,-4.629648,-6.806828,0.101035
268,400.000000,22.682304,-1993.565378,-2047.009298,70.932864,-4.629648,-6.806828,0.100948
269,400.000000,22.682304,-1984.154072,-2037.597991,58.654978,-4.629648,-6.806828,0.100889
270,400.000000,22.163438,-1973.116602,-2025.337972,63.877610,-4.629648,-6.806828,0.100932
271,400.000000,22.371861,-1964.090891,-2016.803347,60.291026,-4.629648,-6.806828,0.100983
272,400.000000,22.371861,-1962.483428,-2015.195884,53.516668,-4.629648,-6.806828,0.100998
273,400.000000,22.458108,-1972.155732,-2025.071402,50.494361,-4.629648,-6.806828,0.100940
274,400.000000,23.454492,-1975.299139,-2030.562483,51.697558,-4.629648,-6.806828,0.100809
275,400.000000,21.455839,-1976.718117,-2027.272248,48.864996,-4.629648,-6.806828,0.100743
